Rec_ID,Last_Name,First_Name,Suffix,Specialty
1,Abdelrahman,Leena,MD,Internal Medicine/Hospitalist
2,Abougou,Marie,MD,Obstetrics & Gynecology 
3,Ahmad,Sami,MD,Obstetrics & Gynecology 
4,Alao,Oladipo,MD,Infectious Disease 
5,Alnachawati,MHD Hicham,MD,Urgent Care
6,Al-Qaisi,Anmar,MD,Pediatrics 
7,Amchentsev,Alexey,MD,Pulmonary Diseases with Bronchoscopies
8,Amin,Saher,MD,Internal Medicine-Hospitalist
9,Amrute,Kaytan,MD,Obstetrics & Gynecology 
10,Angeline,Michael,MD,Orthopedic Surgery 
11,Antoine,Michaelle,MD,Pediatrics 
12,Aron,Narcis,MD,Nephrology
13,Aslam,Shafia,MD,Pediatrics
14,Avella,Thomas,MD,Internal Medicine 
15,Avitabile,Nicholas,MD,Endocrinology 
16,Babu,Benson,MD,Internal Medicine-Hospitalist
17,Baker,Shane,DPM,"Podiatry, Surgical"
18,Baldeo,Sanjeev,DPM,Podiatry
19,Barbanel,Eric W.,MD,Internal Medicine 
20,Batson,Lisa,MD,Psychiatry 
21,Batson,Nicholas,MD,Psychiatry 
22,Bealer,Shane,DO,Primary care/Sports Medicine
23,Bekele-Arcuri,Zewditu,MD,Neurology 
24,Bele,Mark J.,DO,Rheumatology 
25,Benton,Zacheriah,MD,Family Medicine-Hospitalist/Urgentcare
26,Bhola,Ashley,MD,Family Medicine- No Surgery
27,Booker,Thomas J.,MD,Physical Medicine & Rehab  
28,Brito,Shawn,MD,Internal Medicine
29,Bulos,Sandra,MD,Internal Medicine
30,Byrne,Kathleen,MD,Pediatrics
31,Caban,Rebeca,MD,Obstetrics & Gynecology 
32,Camille,Irvelyne,MD,Ob/Gyn
33,Caramico,Anthony,MD,Diagnostic Radiology 
34,Celzo-Vista,Florence I,MD,Endocrinology 
35,Charles-Pierre,Marsha,MD,Physical Medicine & Rehab
36,Chaudhry,Javeria,MD,Internal Medicine
37,Cho,Michael,MD,Cardiovascular Disease
38,Choi,Lisa,MD,Orthopedic- Surgery
39,Choudry,Samina,MD,Internal Medicine
40,Cirillo,Rosa J.,MD,Gastroenterology/General 
41,Cohn,Inna,DO,Obstetrics & Gynecology 
42,Conway,Justin,MD,Family Practice- No Surgery
43,Croen,Edward,MD,Gastroenterology/Advanced 
44,Cuomo,Linda,MD,Cardiovascular Disease 
45,Curro,Valerie,DO,Obstetrics & Gynecology
46,Das,Vinay,MD,Internal Medicine  
47,Denis,Lunique,MD,Family Practice- No Surgery
48,DeVenney,Nathan,MD,Pediatrics
49,Dinsmore,Robert,MD,Hematology/Oncology
50,Dobuzinsky,Olga ,MD,Obstetrics & Gynecology 
51,Doti,Sandy,MD,Internal Medicine 
52,Dros,Matthew,MD,Internal Medicine
53,Du,Jinlin,MD,Allergy 
54,Ducheine,Abigail,MD,Urgent Care- Family Medicine
55,Dummett,Jocelyn,MD,Pediatrics
56,Estler,Kimberly,MD,Office Gynecology 
57,Eugenio,Paul,MD,Cardiovascular Disease w/CC's
58,Fakhoury,Wael,MD,Family Practice- No Surgery
59,Faskowitz,Andrew Jay,DO,Neurology 
60,Fekete,Zoltan,MD,Neurology 
61,Ferencz,Veronica,DO,Plastic Surgery
62,Finnigan,Karen,MD,Internal Medicine 
63,Fiorianti,John,MD,Vascular Surgery
64,Fishman,Olga ,MD,Neurology 
65,Flood,Fatima,MD,Obstetrics & Gynecology 
66,Florival,Christina,MD,Neurology 
67,Folino,Thomas,DO,Interventional Pain Management
68,Francois,Jonathan,MD,Internal Medicine
69,Galustian,Sophia,MD,Endocrinology 
70,Geevarghese,Geejo,MD,Urgent Care 
71,George,Elizabeth,MD,Internal Medicine 
72,Germain,Sephora,MD,Pediatrics 
73,Gershenhorn,Alex,MD,Gastroenterology/General 
74,Ghezel-Ayagh,Anousheh,MD,Infectious Disease
75,Glover,Carlton,MD,Family Medicine- No Surgery
76,Gomez,Dorian,MD,Pulmonary Diseases with Bronchoscopies
77,Gong,Bing,MD,Internal Medicine
78,Gonzalez-Klayman,Noemi,MD,Internal Medicine 
79,Gordon,Matthew,MD,Orthopedic Surgery-Excluding Spine
80,Gotsis,William,MD,Cardiovascular Disease 
81,Greca,Indrit,MD,Rheumatology 
82,Grundfast,Steven,MD,Pulmonary Diseases with Bronchoscopies
83,Guchinskiy,Aleksandr,DO,Otorhinolaryngology  
84,Guindi,Nabil,MD,Internal Medicine
85,Guo,Min,MD,Pathology 
86,Haider,Moosa,MD,Cardiology/Vascular
87,Haider,Tehseen,MD,Gastroenterology/General 
88,Hamet,Marc,MD,Diagnostic Radiology 
89,Han,Christopher,MD,Urology 
90,Haque,Masood,MD,Urgent Care
91,Hardcastle,John,MD,Orthopedics Surgery
92,Harel,Ronen,DO,Hematology/Oncology 
93,Hazeghi,Javad,MD,Internal Medicine
94,Henry,Lernice,DO,Pediatrics
95,Hines,Scott,MD,Endocrinology 
96,Hmidi,Ali,MD,Pulmonary Diseases with Bronchoscopies
97,Hnin,Khin,MD,Internal Medicine 
98,Hu,Can,MD,Rheumatology 
99,Hull,Kristen,MD,Endocrinology 
100,Hulse,Geoffrey,MD,Pulmonary Diseases with Bronchoscopies
101,Hutchison,Luke,DO,Urgent Care
102,Izikson,Leonid,MD,Dermatology 
103,Jaeger,David A.,MD,Neurology 
104,Jafri,Syed,MD,Cardiovascular Disease 
105,Jangda,Aslam,MD,Pediatrics 
106,Jean-Louis,Florence,MD,Obstetrics & Gynecology
107,Jessup,Todd P.,MD,Gastroenterology/General 
108,Judd,Seth,MD,General Surgery
109,Juliano,John S.,MD,Orthopedics Surgery  
110,Julien-Banica,Jehanne,DO,Urgent Care
111,Kahn,Aimee,MD,Pediatrics 
112,Kaknis,Megan,DO,Internal Medicine 
113,Kaminsky,Lillian,MD,Obstetrics & Gynecology 
114,Kang,David S.,MD,Family Practice- No Surgery
